bar,beer,date,startquantity,endquantity
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-16,220,209
"Needy Mind Tavern","Amstel Malt",2018-10-13,206,194
"Dizzy Lemon Lounge","Coconut Porter",2018-10-18,193,183
"Venomous River Inn","Amstel Bright",2018-10-20,178,166
"Original Horse Brewpub","The Highland Stagger",2018-10-10,163,150
"Deep Glass Bar","The Highland Stagger",2018-10-14,216,204
"Skinny Guitar","Caldera Oatmeal Stout",2018-10-20,195,183
"Proud Spiders","The Captain's Porter",2018-10-18,234,224
"Sweet And Sour Castle Bar","Amstel Lager",2018-10-20,135,125
"Incredible Sailboat Pub","Schinderhannes Bock",2018-10-19,156,146
"Iron Turkey","Welsh Pride",2018-10-19,227,216
"Brave Olive Pub","Inspiration Ale",2018-10-21,205,191
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-12,157,143
"Scary Kiwi","Cauldron DIPA",2018-10-22,248,238
"Hot Cup Inn","Black Horse Black Beer",2018-10-21,181,166
"Steel Elf","Caldera Ginger Beer",2018-10-20,196,184
"Gray City","Code Blue",2018-10-14,141,127
"Foamy Cave","Deviator Doppelbock",2018-10-12,161,146
"Armed Pudding Bar","Cauldron DIPA",2018-10-20,157,142
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-18,245,235
"Quickest Doves","Ashland Amber",2018-10-09,175,160
"Peaceful Bison","Nut Brown",2018-10-21,230,216
"Teeny Gauntlet Bar","Emerald Ale",2018-10-19,179,168
"Oceanic Knight Inn","Old Growth Imperial Stout",2018-10-21,185,173
"Earthy Bird Pub","Emerald Ale",2018-10-16,147,133
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-10,138,123
"Dandy Cloud Bistro","Welsh Pride",2018-10-12,110,95
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-14,154,143
"Absent Snow",Megalodon,2018-10-17,159,147
"Laughing Elephant Tavern","Coconut Porter",2018-10-19,144,134
"Ruthless Chestnut","Pilot Rock Porter",2018-10-16,168,154
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-11,227,213
"Molten Ants Bar","Newark IPA",2018-10-21,181,168
"Nifty Branch Inn","Welsh Pride",2018-10-17,180,169
"Clever Child","Pumpkin Ale",2018-10-21,235,222
"Responsible Chair","The Highland Stagger",2018-10-13,260,249
"Hidden Lady Parlor","Amstel Bock",2018-10-17,208,196
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-17,209,196
"Windy Harp","Amstel Bock",2018-10-22,247,233
"Sour Axe Bar","Pumpkin Ale",2018-10-14,244,234
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-16,195,182
"Needy Mind Tavern","Amstel Malt",2018-10-14,194,180
"Dizzy Lemon Lounge","Coconut Porter",2018-10-19,183,172
"Venomous River Inn","Amstel Bright",2018-10-21,205,193
"Skinny Guitar","Caldera Oatmeal Stout",2018-10-21,235,222
"Sweet And Sour Castle Bar","Amstel Lager",2018-10-21,156,141
"Original Horse Brewpub","The Highland Stagger",2018-10-11,150,135
"Iron Turkey","Welsh Pride",2018-10-20,216,206
"Proud Spiders","The Captain's Porter",2018-10-19,224,210
"Deep Glass Bar","The Highland Stagger",2018-10-15,204,190
"Armed Pudding Bar","Cauldron DIPA",2018-10-21,180,168
"Hot Cup Inn","Black Horse Black Beer",2018-10-22,166,156
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-13,143,132
"Incredible Sailboat Pub","Schinderhannes Bock",2018-10-20,146,136
"Scary Kiwi",Hefeweizen,2018-10-09,150,137
"Steel Elf","Caldera Ginger Beer",2018-10-21,233,220
"Foamy Cave","Deviator Doppelbock",2018-10-13,206,194
"Brave Olive Pub","Inspiration Ale",2018-10-22,191,176
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-19,235,220
"Gray City","Code Blue",2018-10-15,127,115
"Quickest Doves","Ashland Amber",2018-10-10,160,147
"Peaceful Bison","Nut Brown",2018-10-22,216,206
"Teeny Gauntlet Bar","Emerald Ale",2018-10-20,168,153
"Oceanic Knight Inn","Old Growth Imperial Stout",2018-10-22,173,158
"Absent Snow",Megalodon,2018-10-18,185,172
"Laughing Elephant Tavern","Coconut Porter",2018-10-20,134,121
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-11,123,109
"Dandy Cloud Bistro","Welsh Pride",2018-10-13,159,144
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-15,185,175
"Ruthless Chestnut","Pilot Rock Porter",2018-10-17,206,194
"Earthy Bird Pub","Emerald Ale",2018-10-17,133,123
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-12,213,200
"Windy Harp","Holiday Imperial",2018-10-09,250,240
"Molten Ants Bar","Newark IPA",2018-10-22,168,155
"Hidden Lady Parlor","Amstel Bock",2018-10-18,235,220
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-17,234,220
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-18,230,215
"Clever Child","Pumpkin Ale",2018-10-22,222,207
"Responsible Chair","The Highland Stagger",2018-10-14,249,235
"Needy Mind Tavern","Amstel Malt",2018-10-15,180,167
"Venomous River Inn","Amstel Bright",2018-10-22,193,178
"Dizzy Lemon Lounge","Coconut Porter",2018-10-20,172,158
"Sour Axe Bar","Pumpkin Ale",2018-10-15,234,219
"Nifty Branch Inn","Welsh Pride",2018-10-18,207,197
"Skinny Guitar","Caldera Oatmeal Stout",2018-10-22,222,212
"Armed Pudding Bar","Cauldron DIPA",2018-10-22,168,158
"Sweet And Sour Castle Bar","Amstel Lager",2018-10-22,141,127
"Original Horse Brewpub","The Highland Stagger",2018-10-12,181,167
"Iron Turkey","Welsh Pride",2018-10-21,259,247
"Proud Spiders","The Captain's Porter",2018-10-20,210,199
"Deep Glass Bar","The Highland Stagger",2018-10-16,190,175
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-14,132,121
"Hot Cup Inn","Emerald Ale",2018-10-09,175,164
"Incredible Sailboat Pub","Schinderhannes Bock",2018-10-21,181,166
"Scary Kiwi",Hefeweizen,2018-10-10,137,125
"Steel Elf","Caldera Ginger Beer",2018-10-22,220,207
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-09,200,188
"Teeny Gauntlet Bar","Emerald Ale",2018-10-21,207,194
"Brave Olive Pub","Swamp Fox IPA",2018-10-09,150,140
"Foamy Cave","Deviator Doppelbock",2018-10-14,194,182
"Gray City","Code Blue",2018-10-16,115,102
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-20,220,205
"Quickest Doves","Ashland Amber",2018-10-11,147,134
"Oceanic Knight Inn","Red Moon",2018-10-09,200,188
"Absent Snow",Megalodon,2018-10-19,172,158
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-12,158,144
"Dandy Cloud Bistro","Welsh Pride",2018-10-14,144,134
"Laughing Elephant Tavern","Coconut Porter",2018-10-21,155,145
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-16,175,165
"Ruthless Chestnut","Pilot Rock Porter",2018-10-18,194,180
"Skinny Guitar","Honey Fayre",2018-10-09,150,136
"Armed Pudding Bar","Dry Hop Red",2018-10-09,200,185
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-18,220,207
"Earthy Bird Pub","Emerald Ale",2018-10-18,160,149
"Natural Leopard","Imperial Stout",2018-10-09,175,160
"Windy Harp","Holiday Imperial",2018-10-10,240,227
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-13,256,244
"Dizzy Lemon Lounge","Coconut Porter",2018-10-21,205,191
"Responsible Chair","The Highland Stagger",2018-10-15,235,223
"Clever Child","Leviathan Imperial Stout",2018-10-09,250,238
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-19,215,202
"Hidden Lady Parlor","Amstel Bock",2018-10-19,220,206
"Venomous River Inn","Lawnmower Lager",2018-10-09,225,212
"Nifty Branch Inn","Welsh Pride",2018-10-19,197,182
"Needy Mind Tavern","Amstel Malt",2018-10-16,167,157
"Sour Axe Bar","Pumpkin Ale",2018-10-16,219,209
"Proud Spiders","The Captain's Porter",2018-10-21,231,218
"Iron Turkey","Welsh Pride",2018-10-22,247,235
"Original Horse Brewpub","The Highland Stagger",2018-10-13,167,154
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-09,150,140
"Deep Glass Bar","The Highland Stagger",2018-10-17,231,218
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-10,188,175
"Incredible Sailboat Pub","Schinderhannes Bock",2018-10-22,166,154
"Scary Kiwi",Hefeweizen,2018-10-11,125,110
"Teeny Gauntlet Bar","Emerald Ale",2018-10-22,194,181
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-15,156,142
"Hot Cup Inn","Emerald Ale",2018-10-10,164,149
"Brave Olive Pub","Swamp Fox IPA",2018-10-10,140,129
"Steel Elf","Celebration Ale",2018-10-09,175,160
"Quickest Doves","Ashland Amber",2018-10-12,181,171
"Foamy Cave","Deviator Doppelbock",2018-10-15,182,167
"Gray City","Code Blue",2018-10-17,155,141
"Oceanic Knight Inn","Red Moon",2018-10-10,188,175
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-21,256,241
"Absent Snow",Megalodon,2018-10-20,158,143
"Laughing Elephant Tavern","Coconut Porter",2018-10-22,145,135
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-13,144,132
"Dandy Cloud Bistro","Welsh Pride",2018-10-15,134,122
"Ruthless Chestnut","Pilot Rock Porter",2018-10-19,180,165
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-17,165,151
"Armed Pudding Bar","Dry Hop Red",2018-10-10,185,173
"Skinny Guitar","Honey Fayre",2018-10-10,136,126
"Clever Child","Leviathan Imperial Stout",2018-10-10,238,228
"Needy Mind Tavern","Amstel Malt",2018-10-17,209,198
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-11,175,164
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-09,150,139
"Dizzy Lemon Lounge","Coconut Porter",2018-10-22,191,178
"Proud Spiders","The Captain's Porter",2018-10-22,218,204
"Natural Leopard","Imperial Stout",2018-10-10,160,149
"Earthy Bird Pub","Emerald Ale",2018-10-19,149,137
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-20,202,190
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-19,207,195
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-14,244,232
"Hidden Lady Parlor","Amstel Bock",2018-10-20,206,195
"Absent Snow",Megalodon,2018-10-21,180,168
"Responsible Chair","The Highland Stagger",2018-10-16,223,213
"Venomous River Inn","Lawnmower Lager",2018-10-10,212,200
"Original Horse Brewpub","The Highland Stagger",2018-10-14,154,143
"Windy Harp","Holiday Imperial",2018-10-11,227,216
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-10,140,129
"Sour Axe Bar","Pumpkin Ale",2018-10-17,257,246
"Deep Glass Bar","The Highland Stagger",2018-10-18,218,207
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-09,250,237
"Nifty Branch Inn","Welsh Pride",2018-10-20,182,169
"Iron Turkey","Dry Stout",2018-10-09,200,187
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-16,142,129
"Hot Cup Inn","Emerald Ale",2018-10-11,149,136
"Scary Kiwi",Hefeweizen,2018-10-12,160,148
"Steel Elf","Celebration Ale",2018-10-10,160,148
"Brave Olive Pub","Swamp Fox IPA",2018-10-11,129,116
"Quickest Doves","Ashland Amber",2018-10-13,171,161
"Foamy Cave","Deviator Doppelbock",2018-10-16,167,156
"Gray City","Code Blue",2018-10-18,141,126
"Lying Explorer Tavern","Caldera Pilsener Bier",2018-10-22,241,227
"Oceanic Knight Inn","Red Moon",2018-10-11,175,165
"Dandy Cloud Bistro","Welsh Pride",2018-10-16,122,112
"Ruthless Chestnut","Pilot Rock Porter",2018-10-20,165,154
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-14,132,119
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-18,180,167
"Laughing Elephant Tavern","Orca Porter",2018-10-09,225,212
"Skinny Guitar","Honey Fayre",2018-10-11,126,115
"Armed Pudding Bar","Dry Hop Red",2018-10-11,173,163
"Clever Child","Leviathan Imperial Stout",2018-10-11,228,218
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-12,206,192
"Needy Mind Tavern","Amstel Malt",2018-10-18,198,184
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-10,139,127
"Earthy Bird Pub","Emerald Ale",2018-10-20,137,126
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-21,235,224
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-09,175,160
"Absent Snow",Megalodon,2018-10-22,168,153
"Proud Spiders","Cauldron Espresso Stout",2018-10-09,200,189
"Natural Leopard","Imperial Stout",2018-10-11,149,134
"Iron Turkey","Dry Stout",2018-10-10,187,173
"Venomous River Inn","Lawnmower Lager",2018-10-11,200,187
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-20,195,180
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-15,232,217
"Hidden Lady Parlor","Amstel Bock",2018-10-21,234,219
"Deep Glass Bar","The Highland Stagger",2018-10-19,207,192
"Nifty Branch Inn","Welsh Pride",2018-10-21,208,193
"Scary Kiwi",Hefeweizen,2018-10-13,148,136
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-17,129,115
"Original Horse Brewpub","The Highland Stagger",2018-10-15,184,170
"Dandy Cloud Bistro","Welsh Pride",2018-10-17,159,146
"Responsible Chair","The Highland Stagger",2018-10-17,257,242
"Hot Cup Inn","Emerald Ale",2018-10-12,181,168
"Oceanic Knight Inn","Red Moon",2018-10-12,209,196
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-10,237,226
"Quickest Doves","Ashland Amber",2018-10-14,161,148
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-11,129,117
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-15,158,144
"Lying Explorer Tavern","Amstel Light",2018-10-09,200,185
"Sour Axe Bar","Pumpkin Ale",2018-10-18,246,236
"Windy Harp","Holiday Imperial",2018-10-12,256,241
"Brave Olive Pub","Swamp Fox IPA",2018-10-12,116,106
"Laughing Elephant Tavern","Orca Porter",2018-10-10,212,199
"Steel Elf","Celebration Ale",2018-10-11,148,133
"Foamy Cave","Deviator Doppelbock",2018-10-17,205,195
"Gray City","Code Blue",2018-10-19,126,113
"Ruthless Chestnut","Pilot Rock Porter",2018-10-21,207,197
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-19,167,153
"Skinny Guitar","Honey Fayre",2018-10-12,155,140
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-13,192,179
"Needy Mind Tavern","Amstel Malt",2018-10-19,184,172
"Clever Child","Leviathan Imperial Stout",2018-10-12,258,248
"Armed Pudding Bar","Dry Hop Red",2018-10-12,163,148
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-11,127,113
"Earthy Bird Pub","Emerald Ale",2018-10-21,159,148
"Absent Snow","Dry Hop Red",2018-10-09,175,161
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-10,160,150
"Awful Salmon Bar","Caldera Oatmeal Stout",2018-10-22,224,210
"Iron Turkey","Dry Stout",2018-10-11,173,162
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-21,233,219
"Natural Leopard","Imperial Stout",2018-10-12,182,169
"Proud Spiders","Cauldron Espresso Stout",2018-10-10,189,176
"Deep Glass Bar","The Highland Stagger",2018-10-20,192,178
"Nifty Branch Inn","Welsh Pride",2018-10-22,193,183
"Venomous River Inn","Lawnmower Lager",2018-10-12,231,221
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-16,217,207
"Hidden Lady Parlor","Amstel Bock",2018-10-22,219,207
"Scary Kiwi",Hefeweizen,2018-10-14,136,121
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-12,158,147
"Responsible Chair","The Highland Stagger",2018-10-18,242,228
"Sour Axe Bar","Pumpkin Ale",2018-10-19,236,222
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-18,157,143
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-11,226,213
"Quickest Doves","Ashland Amber",2018-10-15,185,170
"Lying Explorer Tavern","Amstel Light",2018-10-10,185,175
"Original Horse Brewpub","The Highland Stagger",2018-10-16,170,156
"Dandy Cloud Bistro","Welsh Pride",2018-10-18,146,132
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-16,144,131
"Laughing Elephant Tavern","Orca Porter",2018-10-11,199,188
"Windy Harp","Holiday Imperial",2018-10-13,241,231
"Oceanic Knight Inn","Red Moon",2018-10-13,196,183
"Skinny Guitar","Honey Fayre",2018-10-13,140,130
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-12,113,98
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-14,179,166
"Armed Pudding Bar","Dry Hop Red",2018-10-13,209,196
"Hot Cup Inn","Emerald Ale",2018-10-13,168,155
"Absent Snow","Dry Hop Red",2018-10-10,161,149
"Steel Elf","Celebration Ale",2018-10-12,181,167
"Foamy Cave","Deviator Doppelbock",2018-10-18,195,182
"Brave Olive Pub","Swamp Fox IPA",2018-10-13,155,144
"Ruthless Chestnut","Pilot Rock Porter",2018-10-22,197,187
"Gray City","Code Blue",2018-10-20,113,101
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-20,153,142
"Earthy Bird Pub","Emerald Ale",2018-10-22,148,134
"Needy Mind Tavern","Amstel Malt",2018-10-20,172,162
"Clever Child","Leviathan Imperial Stout",2018-10-13,248,236
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-11,150,137
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-09,200,189
"Twelve Spider Inn","Columbus India Pale Ale",2018-10-22,219,204
"Iron Turkey","Dry Stout",2018-10-12,162,151
"Natural Leopard","Imperial Stout",2018-10-13,169,155
"Proud Spiders","Cauldron Espresso Stout",2018-10-11,176,165
"Deep Glass Bar","The Highland Stagger",2018-10-21,235,224
"Nifty Branch Inn","Amstel Bock",2018-10-09,225,213
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-17,258,245
"Venomous River Inn","Lawnmower Lager",2018-10-13,221,208
"Hidden Table Brewpub","Dry Hop Red",2018-10-09,250,240
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-13,147,133
"Scary Kiwi",Hefeweizen,2018-10-15,156,144
"Responsible Chair","The Highland Stagger",2018-10-19,228,213
"Sour Axe Bar","Pumpkin Ale",2018-10-20,222,209
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-19,143,128
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-12,213,200
"Quickest Doves","Ashland Amber",2018-10-16,170,157
"Skinny Guitar","Honey Fayre",2018-10-14,130,115
"Dandy Cloud Bistro","Welsh Pride",2018-10-19,132,122
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-15,208,195
"Laughing Elephant Tavern","Orca Porter",2018-10-12,230,215
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-17,131,116
"Absent Snow","Dry Hop Red",2018-10-11,149,135
"Armed Pudding Bar","Dry Hop Red",2018-10-14,196,182
"Original Horse Brewpub","The Highland Stagger",2018-10-17,156,142
"Lying Explorer Tavern","Amstel Light",2018-10-11,175,164
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-13,159,144
"Steel Elf","Celebration Ale",2018-10-13,167,156
"Oceanic Knight Inn","Red Moon",2018-10-14,183,171
"Ruthless Chestnut","Code Blue",2018-10-09,200,187
"Windy Harp","Holiday Imperial",2018-10-14,231,220
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-21,185,174
"Hot Cup Inn","Emerald Ale",2018-10-14,155,140
"Clever Child","Leviathan Imperial Stout",2018-10-14,236,222
"Foamy Cave","Deviator Doppelbock",2018-10-19,182,169
"Needy Mind Tavern","Amstel Malt",2018-10-21,205,195
"Brave Olive Pub","Swamp Fox IPA",2018-10-14,144,130
"Gray City","Code Blue",2018-10-21,156,142
"Earthy Bird Pub","Schinderhannes Bock",2018-10-09,200,186
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-12,137,125
"Natural Leopard","Imperial Stout",2018-10-14,155,140
"Iron Turkey","Dry Stout",2018-10-13,209,196
"Twelve Spider Inn","Dry Stout",2018-10-09,225,210
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-10,189,178
"Deep Glass Bar","The Highland Stagger",2018-10-22,224,209
"Proud Spiders","Cauldron Espresso Stout",2018-10-12,208,195
"Nifty Branch Inn","Amstel Bock",2018-10-10,213,200
"Venomous River Inn","Lawnmower Lager",2018-10-14,208,196
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-14,133,121
"Hidden Table Brewpub","Dry Hop Red",2018-10-10,240,226
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-18,245,233
"Responsible Chair","The Highland Stagger",2018-10-20,213,200
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-20,128,113
"Scary Kiwi",Hefeweizen,2018-10-16,144,130
"Sour Axe Bar","Pumpkin Ale",2018-10-21,256,241
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-13,257,242
"Quickest Doves","Ashland Amber",2018-10-17,157,142
"Skinny Guitar","Honey Fayre",2018-10-15,157,143
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-16,195,183
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-14,144,132
"Laughing Elephant Tavern","Orca Porter",2018-10-13,215,205
"Dandy Cloud Bistro","Welsh Pride",2018-10-20,122,112
"Steel Elf","Celebration Ale",2018-10-14,156,146
"Armed Pudding Bar","Dry Hop Red",2018-10-15,182,171
"Absent Snow","Dry Hop Red",2018-10-12,183,172
"Original Horse Brewpub","The Highland Stagger",2018-10-18,184,171
"Lying Explorer Tavern","Amstel Light",2018-10-12,164,151
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-18,155,145
"Oceanic Knight Inn","Red Moon",2018-10-15,205,192
"Ruthless Chestnut","Code Blue",2018-10-10,187,177
"Windy Harp","Holiday Imperial",2018-10-15,255,244
"Gray City","Code Blue",2018-10-22,142,128
"Needy Mind Tavern","Amstel Malt",2018-10-22,195,180
"Chubby Badger Pub","Cauldron Espresso Stout",2018-10-22,174,164
"Earthy Bird Pub","Schinderhannes Bock",2018-10-10,186,175
"Natural Leopard","Imperial Stout",2018-10-15,181,166
"Clever Child","Leviathan Imperial Stout",2018-10-15,257,243
"Iron Turkey","Dry Stout",2018-10-14,196,183
"Hot Cup Inn","Emerald Ale",2018-10-15,181,169
"Brave Olive Pub","Swamp Fox IPA",2018-10-15,130,115
"Deep Lantern","Viven Porter",2018-10-09,150,135
"Foamy Cave","Deviator Doppelbock",2018-10-20,169,158
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-13,185,173
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-11,178,165
"Twelve Spider Inn","Dry Stout",2018-10-10,210,199
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-15,158,146
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-14,242,228
"Scary Kiwi",Hefeweizen,2018-10-17,130,118
"Nifty Branch Inn","Amstel Bock",2018-10-11,200,189
"Proud Spiders","Cauldron Espresso Stout",2018-10-13,195,181
"Venomous River Inn","Lawnmower Lager",2018-10-15,235,220
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-19,233,221
"Hidden Table Brewpub","Dry Hop Red",2018-10-11,226,214
"Sour Axe Bar","Pumpkin Ale",2018-10-22,241,231
"Responsible Chair","The Highland Stagger",2018-10-21,260,247
"Quickest Doves","Ashland Amber",2018-10-18,180,168
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-21,158,146
"Skinny Guitar","Honey Fayre",2018-10-16,143,133
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-15,132,122
"Steel Elf","Celebration Ale",2018-10-15,180,165
"Absent Snow","Dry Hop Red",2018-10-13,172,157
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-17,183,173
"Armed Pudding Bar","Dry Hop Red",2018-10-16,171,161
"Lying Explorer Tavern","Amstel Light",2018-10-13,206,191
"Laughing Elephant Tavern","Orca Porter",2018-10-14,205,190
"Dandy Cloud Bistro","Welsh Pride",2018-10-21,159,149
"Original Horse Brewpub","The Highland Stagger",2018-10-19,171,159
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-19,145,134
"Needy Mind Tavern","Celebration Ale",2018-10-09,150,137
"Oceanic Knight Inn","Red Moon",2018-10-16,192,180
"Earthy Bird Pub","Schinderhannes Bock",2018-10-11,175,160
"Windy Harp","Holiday Imperial",2018-10-16,244,234
"Ruthless Chestnut","Code Blue",2018-10-11,177,164
"Clever Child","Leviathan Imperial Stout",2018-10-16,243,233
"Gray City","Nut Brown",2018-10-09,200,189
"Natural Leopard","Imperial Stout",2018-10-16,166,156
"Iron Turkey","Dry Stout",2018-10-15,183,169
"Chubby Badger Pub","Grey Whale Ale",2018-10-09,200,185
"Brave Olive Pub","Swamp Fox IPA",2018-10-16,115,105
"Hot Cup Inn","Emerald Ale",2018-10-16,169,159
"Deep Lantern","Viven Porter",2018-10-10,135,125
"Foamy Cave","Deviator Doppelbock",2018-10-21,205,191
"Teeny Gauntlet Bar","Caldera Ginger Beer",2018-10-16,122,111
"Awful Salmon Bar","Holiday Trappist Style Ale",2018-10-12,165,153
"Skinny Guitar","Honey Fayre",2018-10-17,133,119
"Quickest Doves","Ashland Amber",2018-10-19,168,154
"Dizzy Lemon Lounge","Black Horse Black Beer",2018-10-14,173,160
"Absent Snow","Dry Hop Red",2018-10-14,157,146
"Responsible Chair","The Highland Stagger",2018-10-22,247,233
"Hidden Table Brewpub","Dry Hop Red",2018-10-12,214,201
"Twelve Spider Inn","Dry Stout",2018-10-11,199,189
"Sour Axe Bar","Caldera Oatmeal Stout",2018-10-09,200,189
"Nifty Branch Inn","Amstel Bock",2018-10-12,230,219
"Jealous Fiddle Pub","Cauldron Espresso Stout",2018-10-20,221,206
"Armed Pudding Bar","Dry Hop Red",2018-10-17,207,197
"Laughing Elephant Tavern","Orca Porter",2018-10-15,232,220
"Dandy Cloud Bistro","Welsh Pride",2018-10-22,149,137
"Perfect Rabbit Tavern","Cauldron Brew",2018-10-18,210,198
"Sweet And Sour Castle Bar","Inspiration Ale",2018-10-16,146,131
"Incredible Sailboat Pub","Hopportunity Knocks",2018-10-15,228,213
"Scary Kiwi",Hefeweizen,2018-10-18,159,149
"Steel Elf","Celebration Ale",2018-10-16,165,154
"Venomous River Inn","Lawnmower Lager",2018-10-16,220,209
"Fascinated Chick Pub","Caldera Ginger Beer",2018-10-20,134,124
"Hungry Vanilla Bean Tavern","Amstel Bright",2018-10-22,146,134
"Proud Spiders","Cauldron Espresso Stout",2018-10-14,181,169
"Lying Explorer Tavern","Amstel Light",2018-10-14,191,176
"Original Horse Brewpub","The Highland Stagger",2018-10-20,159,146
"Clever Child","Leviathan Imperial Stout",2018-10-17,233,220
"Needy Mind Tavern","Celebration Ale",2018-10-10,137,124
"Natural Leopard","Imperial Stout",2018-10-17,156,143
"Brave Olive Pub","Swamp Fox IPA",2018-10-17,160,150
"Ruthless Chestnut","Code Blue",2018-10-12,208,197
"Hot Cup Inn","Emerald Ale",2018-10-17,159,145
"Iron Turkey","Dry Stout",2018-10-16,169,159
"Gray City","Nut Brown",2018-10-10,189,179
"Deep Lantern","Viven Porter",2018-10-11,125,115
"Earthy Bird Pub","Schinderhannes Bock",2018-10-12,205,192
"Windy Harp","Holiday Imperial",2018-10-17,234,221
