bar,day,start,end,date
"Hungry Vanilla Bean Tavern",Saturday,12:00,23:45,2018-10-20
"Hypnotic Gate Tavern",Saturday,12:00,23:15,2018-10-20
"Icky Elephants Tavern",Saturday,11:00,22:15,2018-10-20
"Impossible Fire",Saturday,12:00,22:45,2018-10-20
"Incredible Sailboat Pub",Saturday,09:00,22:15,2018-10-20
"Interesting Trumpet Inn",Saturday,09:00,22:30,2018-10-20
"Iron Library Tavern",Saturday,12:00,23:00,2018-10-20
"Iron Tigress Inn",Saturday,11:00,22:15,2018-10-20
"Iron Turkey",Saturday,09:00,23:30,2018-10-20
"Itchy Cheetah Bar",Saturday,09:00,23:00,2018-10-20
"Ivory Lamb Pub",Saturday,11:00,23:15,2018-10-20
"Jaded Pants Pub",Saturday,11:00,23:45,2018-10-20
"Jealous Fiddle Pub",Saturday,09:00,23:15,2018-10-20
"Keen Snail Bar",Saturday,09:00,23:15,2018-10-20
"Latino Magpie",Saturday,11:00,23:45,2018-10-20
"Laughing Elephant Tavern",Saturday,08:00,22:15,2018-10-20
"Little Elixir Club",Saturday,12:00,23:45,2018-10-20
"Lively Elf",Saturday,11:00,22:15,2018-10-20
"Lonely Snowdrop",Saturday,10:00,23:00,2018-10-20
"Loud Elderberry Bar",Saturday,11:00,22:15,2018-10-20
"Lying Explorer Tavern",Saturday,10:00,22:45,2018-10-20
"Magnificent Dark Elf Bar",Saturday,08:00,22:45,2018-10-20
"Middle Cushion Bar",Saturday,09:00,23:45,2018-10-20
"Mixing Demon Pub",Saturday,09:00,22:30,2018-10-20
"Molten Ants Bar",Saturday,11:00,22:45,2018-10-20
"Natural Leopard",Saturday,12:00,22:15,2018-10-20
"Natural Squash Tavern",Saturday,08:00,23:45,2018-10-20
"Naughty Bean Inn",Saturday,10:00,22:00,2018-10-20
"Needy Mind Tavern",Saturday,10:00,22:45,2018-10-20
"Nervous Jaguar Inn",Saturday,08:00,23:45,2018-10-20
"Nervous Mountain Inn",Saturday,09:00,23:45,2018-10-20
"New Spider Bar",Saturday,12:00,23:15,2018-10-20
"Nifty Branch Inn",Saturday,10:00,23:45,2018-10-20
"Nimble Squash",Saturday,10:00,22:30,2018-10-20
"Nimble Stream Pub",Saturday,12:00,23:00,2018-10-20
"Oceanic Knight Inn",Saturday,08:00,22:45,2018-10-20
"Oceanic Woodpecker Inn",Saturday,12:00,22:00,2018-10-20
"Organic Buffalo Bar",Saturday,10:00,23:30,2018-10-20
"Original Acorn Roadhouse",Saturday,10:00,23:30,2018-10-20
"Original Horse Brewpub",Saturday,08:00,22:30,2018-10-20
"Outrageous Sailboat Inn",Saturday,12:00,22:15,2018-10-20
"Overrated Pigeons Pub",Saturday,09:00,22:15,2018-10-20
"Parallel Pegasus Bar",Saturday,12:00,23:45,2018-10-20
"Peaceful Bison",Saturday,11:00,23:00,2018-10-20
"Perfect Rabbit Tavern",Saturday,10:00,23:45,2018-10-20
"Pleasant Parrot Tavern",Saturday,09:00,22:45,2018-10-20
"Poor Bats Inn",Saturday,08:00,22:45,2018-10-20
"Proud Spiders",Saturday,10:00,22:15,2018-10-20
"Psychotic Seadog",Saturday,08:00,23:30,2018-10-20
"Purple Pint Bar and Grille",Saturday,08:00,23:15,2018-10-20
"Quickest Doves",Saturday,10:00,22:00,2018-10-20
"Rainy Lime Tavern",Saturday,09:00,22:00,2018-10-20
"Real Shark Inn",Saturday,11:00,22:45,2018-10-20
"Regular Drum Tavern",Saturday,08:00,23:15,2018-10-20
"Responsible Chair",Saturday,08:00,23:15,2018-10-20
"Rich Tauren Bar",Saturday,12:00,23:00,2018-10-20
"Russian Otter Pub",Saturday,12:00,22:45,2018-10-20
"Rusty Sailor Outpost",Saturday,09:00,22:30,2018-10-20
"Ruthless Chestnut",Saturday,10:00,23:30,2018-10-20
"Safe Palm Inn",Saturday,12:00,23:15,2018-10-20
"Scared Crossbow Tavern",Saturday,08:00,22:00,2018-10-20
"Scary Kiwi",Saturday,10:00,23:45,2018-10-20
"Shattered Oak",Saturday,10:00,22:00,2018-10-20
"Shouting Snake Inn",Saturday,12:00,22:15,2018-10-20
"Skinny Guitar",Saturday,11:00,23:30,2018-10-20
"Smelly Crane Tavern",Saturday,12:00,23:15,2018-10-20
"Snobbish Jackal Inn",Saturday,08:00,22:30,2018-10-20
"Sore Head",Saturday,12:00,22:30,2018-10-20
"Sour Axe Bar",Saturday,10:00,22:30,2018-10-20
"Spicy Cats Tavern",Saturday,10:00,23:30,2018-10-20
"Spinning Nomad Ale House",Saturday,10:00,22:00,2018-10-20
"Spirited Brew Saloon",Saturday,08:00,22:30,2018-10-20
"Steel Elf",Saturday,11:00,23:00,2018-10-20
"Steel Yew",Saturday,12:00,22:00,2018-10-20
"Sudden Dragon Bar",Saturday,12:00,22:00,2018-10-20
"Sudden Octopus",Saturday,08:00,22:45,2018-10-20
"Sweet And Sour Castle Bar",Saturday,08:00,23:00,2018-10-20
"Swift Angels Pub",Saturday,12:00,22:30,2018-10-20
"Tacky Lyre Pub",Saturday,12:00,23:15,2018-10-20
"Tasty Fairy Tavern",Saturday,10:00,22:45,2018-10-20
"Teeny Gauntlet Bar",Saturday,09:00,23:30,2018-10-20
"Thundering Table Inn",Saturday,10:00,22:30,2018-10-20
"Triangular Pegasus Inn",Saturday,11:00,22:30,2018-10-20
"Twelve Spider Inn",Saturday,12:00,22:15,2018-10-20
"Ugliest Pants Tavern",Saturday,09:00,22:00,2018-10-20
"Uneven Ants Tavern",Saturday,10:00,23:00,2018-10-20
"Unusual Truffle",Saturday,12:00,23:15,2018-10-20
"Venomous River Inn",Saturday,09:00,22:00,2018-10-20
"Wicked Stream",Saturday,12:00,22:15,2018-10-20
"Wild Hag Bar",Saturday,09:00,22:00,2018-10-20
"Windy Harp",Saturday,11:00,22:45,2018-10-20
"Wretched Grape Inn",Saturday,12:00,23:15,2018-10-20
"Wrong Whip Bar",Saturday,08:00,22:00,2018-10-20
"Ye Olde Lord Bar",Saturday,12:00,23:45,2018-10-20
"Absent Snow",Sunday,12:00,22:15,2018-10-21
"Admiral Benbow Inn",Sunday,10:00,23:00,2018-10-21
"Amused Lemon Parlor",Sunday,09:00,23:30,2018-10-21
Anchor,Sunday,10:00,22:45,2018-10-21
"Armed Pudding Bar",Sunday,10:00,23:00,2018-10-21
"Assorted Dandelion Bar",Sunday,10:00,23:45,2018-10-21
"Atomic Liquors",Sunday,08:00,23:45,2018-10-21
"Awful Salmon Bar",Sunday,11:00,22:15,2018-10-21
"Best Stick Tavern",Sunday,11:00,23:30,2018-10-21
"Bloody Lady",Sunday,09:00,22:15,2018-10-21
"Blue City",Sunday,09:00,22:00,2018-10-21
"Brave Olive Pub",Sunday,08:00,23:00,2018-10-21
"Busy Bachelor Bar",Sunday,10:00,22:30,2018-10-21
"Cheap Vampire",Sunday,08:00,23:00,2018-10-21
"Chinese Oak",Sunday,10:00,22:00,2018-10-21
"Chubby Badger Pub",Sunday,08:00,22:30,2018-10-21
"Chunky Hawks Tavern",Sunday,12:00,23:15,2018-10-21
"Clean Bed Inn",Sunday,09:00,22:30,2018-10-21
"Clever Child",Sunday,11:00,22:45,2018-10-21
"Courageous Lyre Bar",Sunday,11:00,22:30,2018-10-21
"Courageous Melon",Sunday,12:00,22:00,2018-10-21
"Crooked Sailor Ale House",Sunday,12:00,22:45,2018-10-21
"Daily Barracuda Inn",Sunday,12:00,22:30,2018-10-21
"Dandy Cloud Bistro",Sunday,10:00,22:00,2018-10-21
"Deep Flute Bar",Sunday,09:00,23:30,2018-10-21
"Deep Glass Bar",Sunday,11:00,22:15,2018-10-21
"Deep Lantern",Sunday,11:00,23:15,2018-10-21
"Diamond Turtle Inn",Sunday,11:00,23:45,2018-10-21
"Different Kumquat Pub",Sunday,09:00,22:45,2018-10-21
"Discreet Elderberry Pub",Sunday,11:00,23:45,2018-10-21
"Dizzy Lemon Lounge",Sunday,09:00,22:30,2018-10-21
"Double Swan Tavern",Sunday,12:00,22:00,2018-10-21
"Drab Parrots Pub",Sunday,12:00,22:45,2018-10-21
"Dramatic Crabs",Sunday,10:00,23:45,2018-10-21
"Earthy Bird Pub",Sunday,11:00,23:15,2018-10-21
"Empty Snapdragon Pub",Sunday,10:00,22:30,2018-10-21
"Familiar Pony Tavern",Sunday,09:00,22:30,2018-10-21
"Famous Tiger Pub",Sunday,11:00,22:00,2018-10-21
"Fascinated Chick Pub",Sunday,11:00,23:15,2018-10-21
"Fascinated Demon Pub",Sunday,11:00,23:00,2018-10-21
"Fearless Drum Bar",Sunday,09:00,23:00,2018-10-21
"Fluffy Husband",Sunday,10:00,23:45,2018-10-21
"Foamy Cave",Sunday,10:00,23:00,2018-10-21
"Full Guitar",Sunday,11:00,23:30,2018-10-21
"Gifted Pillow Inn",Sunday,08:00,23:30,2018-10-21
"Gifted Zebra Tavern",Sunday,11:00,22:00,2018-10-21
"Gray City",Sunday,12:00,22:15,2018-10-21
"Gypsy Root Roadhouse",Sunday,09:00,23:00,2018-10-21
"Harsh Flame Tavern",Sunday,10:00,23:00,2018-10-21
"Hidden Lady Parlor",Sunday,09:00,23:30,2018-10-21
"Hidden Table Brewpub",Sunday,08:00,22:00,2018-10-21
"Hissing Ocean Bar",Sunday,08:00,22:00,2018-10-21
"Hoppy Apple Brewhouse",Sunday,11:00,23:15,2018-10-21
"Hot Cup Inn",Sunday,11:00,22:00,2018-10-21
"Hungry Skunks Bar",Sunday,09:00,23:00,2018-10-21
"Hungry Turtle Pub",Sunday,11:00,23:30,2018-10-21
"Hungry Vanilla Bean Tavern",Sunday,08:00,22:15,2018-10-21
"Hypnotic Gate Tavern",Sunday,09:00,23:45,2018-10-21
"Icky Elephants Tavern",Sunday,11:00,23:30,2018-10-21
"Impossible Fire",Sunday,12:00,22:15,2018-10-21
"Incredible Sailboat Pub",Sunday,09:00,23:00,2018-10-21
"Interesting Trumpet Inn",Sunday,12:00,22:15,2018-10-21
"Iron Library Tavern",Sunday,08:00,22:45,2018-10-21
"Iron Tigress Inn",Sunday,08:00,22:45,2018-10-21
"Iron Turkey",Sunday,11:00,22:30,2018-10-21
"Itchy Cheetah Bar",Sunday,12:00,23:30,2018-10-21
"Ivory Lamb Pub",Sunday,08:00,22:00,2018-10-21
"Jaded Pants Pub",Sunday,12:00,22:45,2018-10-21
"Jealous Fiddle Pub",Sunday,10:00,22:30,2018-10-21
"Keen Snail Bar",Sunday,08:00,23:30,2018-10-21
"Latino Magpie",Sunday,12:00,23:00,2018-10-21
"Laughing Elephant Tavern",Sunday,08:00,22:30,2018-10-21
"Little Elixir Club",Sunday,12:00,22:00,2018-10-21
"Lively Elf",Sunday,09:00,22:00,2018-10-21
"Lonely Snowdrop",Sunday,10:00,23:00,2018-10-21
"Loud Elderberry Bar",Sunday,08:00,23:00,2018-10-21
"Lying Explorer Tavern",Sunday,10:00,22:00,2018-10-21
"Magnificent Dark Elf Bar",Sunday,12:00,23:15,2018-10-21
"Middle Cushion Bar",Sunday,08:00,23:30,2018-10-21
"Mixing Demon Pub",Sunday,12:00,23:45,2018-10-21
"Molten Ants Bar",Sunday,12:00,22:15,2018-10-21
"Natural Leopard",Sunday,12:00,22:15,2018-10-21
"Natural Squash Tavern",Sunday,08:00,22:30,2018-10-21
"Naughty Bean Inn",Sunday,09:00,23:30,2018-10-21
"Needy Mind Tavern",Sunday,12:00,22:15,2018-10-21
"Nervous Jaguar Inn",Sunday,11:00,23:00,2018-10-21
"Nervous Mountain Inn",Sunday,12:00,22:45,2018-10-21
"New Spider Bar",Sunday,09:00,22:15,2018-10-21
"Nifty Branch Inn",Sunday,11:00,23:00,2018-10-21
"Nimble Squash",Sunday,12:00,23:30,2018-10-21
"Nimble Stream Pub",Sunday,09:00,22:30,2018-10-21
"Oceanic Knight Inn",Sunday,12:00,22:15,2018-10-21
"Oceanic Woodpecker Inn",Sunday,08:00,23:15,2018-10-21
"Organic Buffalo Bar",Sunday,12:00,22:15,2018-10-21
"Original Acorn Roadhouse",Sunday,09:00,23:45,2018-10-21
"Original Horse Brewpub",Sunday,10:00,22:00,2018-10-21
"Outrageous Sailboat Inn",Sunday,09:00,22:30,2018-10-21
"Overrated Pigeons Pub",Sunday,11:00,22:30,2018-10-21
"Parallel Pegasus Bar",Sunday,12:00,22:15,2018-10-21
"Peaceful Bison",Sunday,12:00,23:15,2018-10-21
"Perfect Rabbit Tavern",Sunday,09:00,23:15,2018-10-21
"Pleasant Parrot Tavern",Sunday,10:00,22:15,2018-10-21
"Poor Bats Inn",Sunday,10:00,22:30,2018-10-21
"Proud Spiders",Sunday,12:00,22:15,2018-10-21
"Psychotic Seadog",Sunday,09:00,23:30,2018-10-21
"Purple Pint Bar and Grille",Sunday,09:00,23:30,2018-10-21
"Quickest Doves",Sunday,12:00,22:30,2018-10-21
"Rainy Lime Tavern",Sunday,11:00,22:15,2018-10-21
"Real Shark Inn",Sunday,09:00,23:00,2018-10-21
"Regular Drum Tavern",Sunday,08:00,23:00,2018-10-21
"Responsible Chair",Sunday,08:00,22:45,2018-10-21
"Rich Tauren Bar",Sunday,08:00,22:15,2018-10-21
"Russian Otter Pub",Sunday,10:00,22:00,2018-10-21
"Rusty Sailor Outpost",Sunday,12:00,23:45,2018-10-21
"Ruthless Chestnut",Sunday,09:00,23:45,2018-10-21
"Safe Palm Inn",Sunday,08:00,23:15,2018-10-21
"Scared Crossbow Tavern",Sunday,11:00,23:30,2018-10-21
"Scary Kiwi",Sunday,09:00,23:30,2018-10-21
"Shattered Oak",Sunday,09:00,22:30,2018-10-21
"Shouting Snake Inn",Sunday,10:00,22:15,2018-10-21
"Skinny Guitar",Sunday,09:00,22:45,2018-10-21
"Smelly Crane Tavern",Sunday,12:00,23:45,2018-10-21
"Snobbish Jackal Inn",Sunday,12:00,23:30,2018-10-21
"Sore Head",Sunday,09:00,23:30,2018-10-21
"Sour Axe Bar",Sunday,09:00,23:45,2018-10-21
"Spicy Cats Tavern",Sunday,08:00,23:45,2018-10-21
"Spinning Nomad Ale House",Sunday,11:00,22:30,2018-10-21
"Spirited Brew Saloon",Sunday,08:00,22:15,2018-10-21
"Steel Elf",Sunday,08:00,22:30,2018-10-21
"Steel Yew",Sunday,11:00,22:15,2018-10-21
"Sudden Dragon Bar",Sunday,12:00,22:00,2018-10-21
"Sudden Octopus",Sunday,08:00,22:15,2018-10-21
"Sweet And Sour Castle Bar",Sunday,10:00,23:45,2018-10-21
"Swift Angels Pub",Sunday,10:00,23:30,2018-10-21
"Tacky Lyre Pub",Sunday,10:00,22:15,2018-10-21
"Tasty Fairy Tavern",Sunday,08:00,22:30,2018-10-21
"Teeny Gauntlet Bar",Sunday,08:00,22:00,2018-10-21
"Thundering Table Inn",Sunday,09:00,23:15,2018-10-21
"Triangular Pegasus Inn",Sunday,12:00,22:00,2018-10-21
"Twelve Spider Inn",Sunday,08:00,22:00,2018-10-21
"Ugliest Pants Tavern",Sunday,10:00,22:00,2018-10-21
"Uneven Ants Tavern",Sunday,11:00,22:00,2018-10-21
"Unusual Truffle",Sunday,12:00,23:30,2018-10-21
"Venomous River Inn",Sunday,09:00,23:00,2018-10-21
"Wicked Stream",Sunday,08:00,22:00,2018-10-21
"Wild Hag Bar",Sunday,10:00,23:45,2018-10-21
"Windy Harp",Sunday,12:00,22:00,2018-10-21
"Wretched Grape Inn",Sunday,08:00,23:45,2018-10-21
"Wrong Whip Bar",Sunday,08:00,23:45,2018-10-21
"Ye Olde Lord Bar",Sunday,09:00,23:00,2018-10-21
"Absent Snow",Monday,12:00,23:45,2018-10-22
"Admiral Benbow Inn",Monday,10:00,22:30,2018-10-22
"Amused Lemon Parlor",Monday,12:00,23:45,2018-10-22
Anchor,Monday,08:00,22:00,2018-10-22
"Armed Pudding Bar",Monday,11:00,23:15,2018-10-22
"Assorted Dandelion Bar",Monday,09:00,22:45,2018-10-22
"Atomic Liquors",Monday,10:00,23:00,2018-10-22
"Awful Salmon Bar",Monday,12:00,22:15,2018-10-22
"Best Stick Tavern",Monday,10:00,22:15,2018-10-22
"Bloody Lady",Monday,11:00,23:30,2018-10-22
"Blue City",Monday,09:00,23:15,2018-10-22
"Brave Olive Pub",Monday,10:00,23:30,2018-10-22
"Busy Bachelor Bar",Monday,09:00,22:15,2018-10-22
"Cheap Vampire",Monday,09:00,23:45,2018-10-22
"Chinese Oak",Monday,08:00,22:15,2018-10-22
"Chubby Badger Pub",Monday,11:00,23:15,2018-10-22
"Chunky Hawks Tavern",Monday,08:00,22:00,2018-10-22
"Clean Bed Inn",Monday,12:00,22:30,2018-10-22
"Clever Child",Monday,12:00,22:15,2018-10-22
"Courageous Lyre Bar",Monday,08:00,22:45,2018-10-22
"Courageous Melon",Monday,08:00,23:00,2018-10-22
"Crooked Sailor Ale House",Monday,09:00,23:00,2018-10-22
"Daily Barracuda Inn",Monday,11:00,22:30,2018-10-22
"Dandy Cloud Bistro",Monday,09:00,22:30,2018-10-22
"Deep Flute Bar",Monday,12:00,23:15,2018-10-22
"Deep Glass Bar",Monday,08:00,22:00,2018-10-22
"Deep Lantern",Monday,08:00,23:15,2018-10-22
"Diamond Turtle Inn",Monday,12:00,23:30,2018-10-22
"Different Kumquat Pub",Monday,12:00,22:45,2018-10-22
"Discreet Elderberry Pub",Monday,09:00,22:00,2018-10-22
"Dizzy Lemon Lounge",Monday,09:00,23:00,2018-10-22
"Double Swan Tavern",Monday,09:00,23:30,2018-10-22
"Drab Parrots Pub",Monday,10:00,23:00,2018-10-22
"Dramatic Crabs",Monday,10:00,23:45,2018-10-22
"Earthy Bird Pub",Monday,08:00,23:30,2018-10-22
"Empty Snapdragon Pub",Monday,11:00,23:45,2018-10-22
"Familiar Pony Tavern",Monday,10:00,22:15,2018-10-22
"Famous Tiger Pub",Monday,11:00,23:30,2018-10-22
"Fascinated Chick Pub",Monday,08:00,22:15,2018-10-22
"Fascinated Demon Pub",Monday,11:00,23:45,2018-10-22
"Fearless Drum Bar",Monday,08:00,22:45,2018-10-22
"Fluffy Husband",Monday,08:00,22:30,2018-10-22
"Foamy Cave",Monday,09:00,23:45,2018-10-22
"Full Guitar",Monday,10:00,23:45,2018-10-22
"Gifted Pillow Inn",Monday,08:00,23:30,2018-10-22
"Gifted Zebra Tavern",Monday,10:00,22:30,2018-10-22
"Gray City",Monday,10:00,23:15,2018-10-22
"Gypsy Root Roadhouse",Monday,10:00,23:15,2018-10-22
"Harsh Flame Tavern",Monday,08:00,22:15,2018-10-22
"Hidden Lady Parlor",Monday,08:00,23:00,2018-10-22
"Hidden Table Brewpub",Monday,08:00,22:45,2018-10-22
"Hissing Ocean Bar",Monday,12:00,23:00,2018-10-22
"Hoppy Apple Brewhouse",Monday,08:00,23:00,2018-10-22
"Hot Cup Inn",Monday,09:00,22:00,2018-10-22
"Hungry Skunks Bar",Monday,12:00,22:30,2018-10-22
"Hungry Turtle Pub",Monday,10:00,23:30,2018-10-22
"Hungry Vanilla Bean Tavern",Monday,09:00,22:30,2018-10-22
"Hypnotic Gate Tavern",Monday,10:00,23:15,2018-10-22
"Icky Elephants Tavern",Monday,11:00,23:45,2018-10-22
"Impossible Fire",Monday,08:00,23:45,2018-10-22
"Incredible Sailboat Pub",Monday,10:00,23:00,2018-10-22
"Interesting Trumpet Inn",Monday,10:00,22:15,2018-10-22
"Iron Library Tavern",Monday,10:00,23:15,2018-10-22
"Iron Tigress Inn",Monday,10:00,23:45,2018-10-22
"Iron Turkey",Monday,09:00,22:45,2018-10-22
"Itchy Cheetah Bar",Monday,11:00,22:15,2018-10-22
"Ivory Lamb Pub",Monday,08:00,22:30,2018-10-22
"Jaded Pants Pub",Monday,08:00,23:30,2018-10-22
"Jealous Fiddle Pub",Monday,10:00,23:15,2018-10-22
"Keen Snail Bar",Monday,12:00,22:15,2018-10-22
"Latino Magpie",Monday,08:00,23:15,2018-10-22
"Laughing Elephant Tavern",Monday,10:00,22:30,2018-10-22
"Little Elixir Club",Monday,08:00,22:00,2018-10-22
"Lively Elf",Monday,12:00,23:45,2018-10-22
"Lonely Snowdrop",Monday,11:00,22:30,2018-10-22
"Loud Elderberry Bar",Monday,09:00,23:15,2018-10-22
"Lying Explorer Tavern",Monday,10:00,23:00,2018-10-22
"Magnificent Dark Elf Bar",Monday,08:00,22:00,2018-10-22
"Middle Cushion Bar",Monday,08:00,23:00,2018-10-22
"Mixing Demon Pub",Monday,11:00,22:15,2018-10-22
"Molten Ants Bar",Monday,10:00,22:30,2018-10-22
"Natural Leopard",Monday,09:00,22:00,2018-10-22
"Natural Squash Tavern",Monday,12:00,22:30,2018-10-22
"Naughty Bean Inn",Monday,09:00,23:00,2018-10-22
"Needy Mind Tavern",Monday,12:00,23:30,2018-10-22
"Nervous Jaguar Inn",Monday,10:00,22:30,2018-10-22
"Nervous Mountain Inn",Monday,11:00,23:00,2018-10-22
"New Spider Bar",Monday,08:00,22:30,2018-10-22
"Nifty Branch Inn",Monday,08:00,23:00,2018-10-22
"Nimble Squash",Monday,08:00,23:15,2018-10-22
"Nimble Stream Pub",Monday,08:00,23:15,2018-10-22
"Oceanic Knight Inn",Monday,09:00,22:45,2018-10-22
"Oceanic Woodpecker Inn",Monday,09:00,23:30,2018-10-22
"Organic Buffalo Bar",Monday,11:00,23:15,2018-10-22
"Original Acorn Roadhouse",Monday,11:00,22:00,2018-10-22
"Original Horse Brewpub",Monday,12:00,22:15,2018-10-22
"Outrageous Sailboat Inn",Monday,08:00,22:45,2018-10-22
"Overrated Pigeons Pub",Monday,12:00,23:15,2018-10-22
"Parallel Pegasus Bar",Monday,10:00,23:30,2018-10-22
"Peaceful Bison",Monday,11:00,22:45,2018-10-22
"Perfect Rabbit Tavern",Monday,08:00,22:30,2018-10-22
"Pleasant Parrot Tavern",Monday,08:00,22:45,2018-10-22
"Poor Bats Inn",Monday,09:00,23:45,2018-10-22
"Proud Spiders",Monday,09:00,22:45,2018-10-22
"Psychotic Seadog",Monday,09:00,23:45,2018-10-22
"Purple Pint Bar and Grille",Monday,11:00,22:30,2018-10-22
"Quickest Doves",Monday,11:00,22:30,2018-10-22
"Rainy Lime Tavern",Monday,08:00,23:30,2018-10-22
"Real Shark Inn",Monday,12:00,23:00,2018-10-22
"Regular Drum Tavern",Monday,08:00,23:45,2018-10-22
"Responsible Chair",Monday,08:00,23:30,2018-10-22
"Rich Tauren Bar",Monday,08:00,23:45,2018-10-22
"Russian Otter Pub",Monday,10:00,23:30,2018-10-22
"Rusty Sailor Outpost",Monday,12:00,22:15,2018-10-22
"Ruthless Chestnut",Monday,10:00,23:45,2018-10-22
"Safe Palm Inn",Monday,11:00,22:15,2018-10-22
"Scared Crossbow Tavern",Monday,09:00,22:45,2018-10-22
"Scary Kiwi",Monday,12:00,23:15,2018-10-22
"Shattered Oak",Monday,08:00,23:00,2018-10-22
"Shouting Snake Inn",Monday,08:00,23:15,2018-10-22
"Skinny Guitar",Monday,09:00,23:15,2018-10-22
"Smelly Crane Tavern",Monday,10:00,23:45,2018-10-22
"Snobbish Jackal Inn",Monday,10:00,23:45,2018-10-22
"Sore Head",Monday,08:00,23:45,2018-10-22
"Sour Axe Bar",Monday,09:00,22:00,2018-10-22
"Spicy Cats Tavern",Monday,08:00,23:30,2018-10-22
"Spinning Nomad Ale House",Monday,08:00,22:30,2018-10-22
"Spirited Brew Saloon",Monday,10:00,23:45,2018-10-22
"Steel Elf",Monday,11:00,22:15,2018-10-22
"Steel Yew",Monday,09:00,23:45,2018-10-22
"Sudden Dragon Bar",Monday,11:00,23:30,2018-10-22
"Sudden Octopus",Monday,10:00,22:15,2018-10-22
"Sweet And Sour Castle Bar",Monday,12:00,22:15,2018-10-22
"Swift Angels Pub",Monday,10:00,23:45,2018-10-22
"Tacky Lyre Pub",Monday,11:00,22:30,2018-10-22
"Tasty Fairy Tavern",Monday,12:00,22:30,2018-10-22
"Teeny Gauntlet Bar",Monday,12:00,22:00,2018-10-22
"Thundering Table Inn",Monday,10:00,22:00,2018-10-22
"Triangular Pegasus Inn",Monday,10:00,22:45,2018-10-22
"Twelve Spider Inn",Monday,10:00,23:45,2018-10-22
"Ugliest Pants Tavern",Monday,09:00,22:15,2018-10-22
"Uneven Ants Tavern",Monday,09:00,23:45,2018-10-22
"Unusual Truffle",Monday,11:00,22:15,2018-10-22
"Venomous River Inn",Monday,11:00,22:45,2018-10-22
"Wicked Stream",Monday,10:00,22:15,2018-10-22
"Wild Hag Bar",Monday,09:00,22:45,2018-10-22
"Windy Harp",Monday,09:00,22:30,2018-10-22
"Wretched Grape Inn",Monday,10:00,22:15,2018-10-22
"Wrong Whip Bar",Monday,12:00,22:00,2018-10-22
"Ye Olde Lord Bar",Monday,09:00,22:30,2018-10-22
"Absent Snow",Tuesday,09:00,22:00,2018-10-23
"Admiral Benbow Inn",Tuesday,11:00,23:00,2018-10-23
"Amused Lemon Parlor",Tuesday,08:00,23:15,2018-10-23
Anchor,Tuesday,12:00,23:00,2018-10-23
"Armed Pudding Bar",Tuesday,10:00,23:15,2018-10-23
"Assorted Dandelion Bar",Tuesday,11:00,23:15,2018-10-23
"Atomic Liquors",Tuesday,12:00,23:00,2018-10-23
"Awful Salmon Bar",Tuesday,11:00,22:00,2018-10-23
"Best Stick Tavern",Tuesday,12:00,22:15,2018-10-23
"Bloody Lady",Tuesday,11:00,22:45,2018-10-23
"Blue City",Tuesday,12:00,23:45,2018-10-23
"Brave Olive Pub",Tuesday,09:00,22:30,2018-10-23
"Busy Bachelor Bar",Tuesday,09:00,23:00,2018-10-23
"Cheap Vampire",Tuesday,10:00,22:00,2018-10-23
"Chinese Oak",Tuesday,12:00,23:30,2018-10-23
"Chubby Badger Pub",Tuesday,11:00,22:30,2018-10-23
"Chunky Hawks Tavern",Tuesday,11:00,22:30,2018-10-23
"Clean Bed Inn",Tuesday,08:00,22:00,2018-10-23
"Clever Child",Tuesday,09:00,23:15,2018-10-23
"Courageous Lyre Bar",Tuesday,11:00,22:00,2018-10-23
"Courageous Melon",Tuesday,10:00,22:30,2018-10-23
"Crooked Sailor Ale House",Tuesday,10:00,23:45,2018-10-23
"Daily Barracuda Inn",Tuesday,10:00,23:45,2018-10-23
"Dandy Cloud Bistro",Tuesday,11:00,22:30,2018-10-23
"Deep Flute Bar",Tuesday,11:00,22:00,2018-10-23
"Deep Glass Bar",Tuesday,10:00,23:15,2018-10-23
"Deep Lantern",Tuesday,11:00,23:30,2018-10-23
"Diamond Turtle Inn",Tuesday,11:00,22:00,2018-10-23
"Different Kumquat Pub",Tuesday,11:00,23:00,2018-10-23
"Discreet Elderberry Pub",Tuesday,10:00,22:30,2018-10-23
"Dizzy Lemon Lounge",Tuesday,09:00,23:15,2018-10-23
"Double Swan Tavern",Tuesday,11:00,23:00,2018-10-23
"Drab Parrots Pub",Tuesday,12:00,22:45,2018-10-23
"Dramatic Crabs",Tuesday,08:00,23:45,2018-10-23
"Earthy Bird Pub",Tuesday,10:00,23:15,2018-10-23
"Empty Snapdragon Pub",Tuesday,10:00,22:00,2018-10-23
"Familiar Pony Tavern",Tuesday,11:00,23:00,2018-10-23
"Famous Tiger Pub",Tuesday,12:00,23:00,2018-10-23
"Fascinated Chick Pub",Tuesday,10:00,22:30,2018-10-23
"Fascinated Demon Pub",Tuesday,10:00,22:15,2018-10-23
"Fearless Drum Bar",Tuesday,10:00,23:30,2018-10-23
"Fluffy Husband",Tuesday,12:00,22:45,2018-10-23
"Foamy Cave",Tuesday,10:00,22:15,2018-10-23
"Full Guitar",Tuesday,09:00,23:15,2018-10-23
"Gifted Pillow Inn",Tuesday,08:00,22:00,2018-10-23
"Gifted Zebra Tavern",Tuesday,11:00,23:30,2018-10-23
"Gray City",Tuesday,11:00,23:45,2018-10-23
"Gypsy Root Roadhouse",Tuesday,12:00,22:45,2018-10-23
